Open,High,Low,Close,Adj Close,Volume
68600.0,69400.0,67900.0,68200.0,67878.585938,25209349
68600.0,69700.0,68200.0,68900.0,68575.289063,19311380
68000.0,68500.0,67700.0,68000.0,67679.53125,9724086
67900.0,68500.0,66800.0,67300.0,66982.828125,12599299
67700.0,69900.0,67400.0,69400.0,69072.929688,17299253
68900.0,70500.0,68800.0,70500.0,70167.75,16493184
69700.0,70000.0,69400.0,69500.0,69172.460938,13985012
68900.0,69200.0,68100.0,68800.0,68475.757813,15204495
68700.0,69100.0,68200.0,68400.0,68077.640625,11625959
68700.0,68800.0,67700.0,68500.0,68177.171875,12791710
68800.0,68800.0,67900.0,68000.0,67679.53125,10610703
67000.0,67900.0,66700.0,66700.0,66385.65625,15517624
67100.0,67300.0,66700.0,67300.0,66982.828125,11334726
66800.0,67800.0,66700.0,67300.0,66982.828125,10139270
67600.0,68300.0,66900.0,66900.0,66584.710938,14488892
67500.0,68900.0,67300.0,68600.0,68276.703125,13775256
70000.0,70000.0,69400.0,69700.0,69371.515625,16350031
69700.0,70200.0,69500.0,69600.0,69271.984375,10322234
69800.0,70900.0,69300.0,70900.0,70565.859375,22228489
70600.0,70900.0,70000.0,70900.0,70565.859375,17228731
71300.0,71400.0,69700.0,69900.0,69570.570313,12901310
69900.0,70800.0,69600.0,70300.0,69968.6875,12301373
70000.0,70500.0,69500.0,70500.0,70167.75,9684347
71300.0,71300.0,70300.0,70400.0,70068.21875,9246919
71000.0,71100.0,70600.0,70800.0,70466.335938,9567984
71600.0,72200.0,71500.0,72200.0,71859.734375,20148677
72500.0,73000.0,72300.0,72800.0,72456.90625,15860451
72300.0,73000.0,72300.0,72500.0,72158.320313,11494644
72100.0,73000.0,72100.0,72700.0,72357.375,10610157
73100.0,73400.0,72700.0,72800.0,72456.90625,9712881
72200.0,73000.0,71900.0,72800.0,72456.90625,11105143
73000.0,73200.0,72200.0,72400.0,72058.789063,6775614
72400.0,72600.0,71700.0,71700.0,71362.09375,6676685
71500.0,72100.0,71100.0,71300.0,70963.976563,9113857
71400.0,72700.0,71300.0,72700.0,72357.375,13283081
72400.0,72800.0,72200.0,72700.0,72357.375,9283933
72700.0,72800.0,72200.0,72800.0,72456.90625,15783714
72400.0,72500.0,71700.0,72000.0,71660.679688,9871284
72800.0,72900.0,72400.0,72600.0,72257.851563,10229267
72300.0,72400.0,71200.0,71200.0,70864.445313,12129682
71800.0,72100.0,71600.0,71700.0,71362.09375,8123087
