Date,Open,High,Low,Close,Adj Close,Volume
2023-08-04,53800.000000,55000.000000,51000.000000,51800.000000,51744.367188,3173204
2023-08-07,51700.000000,54000.000000,51200.000000,52700.000000,52643.402344,2755342
2023-08-08,53500.000000,53600.000000,51800.000000,51800.000000,51744.367188,1512333
2023-08-09,52100.000000,53200.000000,52100.000000,52800.000000,52743.296875,1095062
2023-08-10,52300.000000,53100.000000,51900.000000,52600.000000,52543.511719,1645198
2023-08-11,51400.000000,52500.000000,50600.000000,51600.000000,51544.582031,1591602
2023-08-14,51700.000000,52000.000000,50600.000000,50700.000000,50645.550781,1062345
2023-08-16,50300.000000,51100.000000,49850.000000,50300.000000,50245.980469,1125125
2023-08-17,50000.000000,50100.000000,49150.000000,49250.000000,49197.109375,1640558
2023-08-18,48650.000000,49300.000000,48200.000000,48450.000000,48397.968750,1384622
2023-08-21,48500.000000,49450.000000,48250.000000,48400.000000,48348.019531,1010367
2023-08-22,48550.000000,49400.000000,48400.000000,48650.000000,48597.753906,1131155
2023-08-23,48700.000000,49700.000000,48450.000000,48900.000000,48847.484375,1344907
2023-08-24,49450.000000,50100.000000,48900.000000,49100.000000,49047.269531,1735760
2023-08-25,48000.000000,48550.000000,47600.000000,48100.000000,48048.343750,1330506
2023-08-28,48550.000000,48650.000000,47800.000000,48000.000000,47948.449219,974367
2023-08-29,48000.000000,48700.000000,48000.000000,48600.000000,48547.804688,864728
2023-08-30,49150.000000,49400.000000,48750.000000,49000.000000,48947.375000,888093
2023-08-31,49000.000000,49100.000000,48100.000000,48100.000000,48048.343750,1699582
2023-09-01,47950.000000,49300.000000,47950.000000,48950.000000,48897.429688,1371351
2023-09-04,48900.000000,49450.000000,48400.000000,49100.000000,49047.269531,1020561
2023-09-05,49100.000000,49350.000000,48850.000000,48900.000000,48847.484375,676829
2023-09-06,49000.000000,49200.000000,48500.000000,49050.000000,48997.324219,830228
2023-09-07,48700.000000,49600.000000,48600.000000,48750.000000,48697.644531,925935
2023-09-08,48650.000000,48750.000000,48000.000000,48250.000000,48198.179688,1116295
2023-09-11,48250.000000,48350.000000,47900.000000,48250.000000,48198.179688,1017094
2023-09-12,48200.000000,48750.000000,48150.000000,48400.000000,48348.019531,1383694
2023-09-13,48100.000000,48150.000000,47300.000000,47800.000000,47748.664063,1898035
2023-09-14,47850.000000,48300.000000,47450.000000,48300.000000,48248.128906,1687973
2023-09-15,48100.000000,48900.000000,48100.000000,48850.000000,48797.539063,1695681
2023-09-18,48550.000000,49200.000000,48450.000000,48600.000000,48547.804688,876697
2023-09-19,48600.000000,48700.000000,47800.000000,47850.000000,47798.609375,991657
2023-09-20,47850.000000,47950.000000,47050.000000,47100.000000,47049.417969,1245851
2023-09-21,46800.000000,47150.000000,45600.000000,45650.000000,45600.972656,2463267
2023-09-22,45100.000000,45650.000000,44800.000000,45050.000000,45001.617188,1395423
2023-09-25,44900.000000,45250.000000,44650.000000,44800.000000,44751.886719,1141723
2023-09-26,44650.000000,44800.000000,43400.000000,43750.000000,43703.015625,1875514
2023-09-27,43150.000000,44200.000000,43150.000000,43950.000000,43902.800781,1134533
2023-10-04,43050.000000,43100.000000,41600.000000,41600.000000,41555.324219,2511805
2023-10-05,41750.000000,42400.000000,40700.000000,40850.000000,40806.128906,1859309
2023-10-06,40600.000000,42100.000000,40600.000000,42050.000000,42004.839844,1130815
2023-10-10,42100.000000,42350.000000,41200.000000,41400.000000,41355.539063,1273485
2023-10-11,41900.000000,43200.000000,41900.000000,42650.000000,42604.195313,1343809
2023-10-12,42700.000000,44000.000000,42600.000000,43650.000000,43603.121094,1373599
2023-10-13,43250.000000,43650.000000,43050.000000,43200.000000,43153.605469,589597
2023-10-16,43250.000000,43900.000000,42400.000000,43150.000000,43103.660156,941701
2023-10-17,43400.000000,44050.000000,42800.000000,42800.000000,42754.035156,1063385
2023-10-18,42400.000000,42950.000000,41800.000000,41800.000000,41755.109375,1389354
2023-10-19,41000.000000,41400.000000,40450.000000,40500.000000,40456.503906,1699061
2023-10-20,39750.000000,40150.000000,38850.000000,39050.000000,39008.062500,2483524
2023-10-23,38200.000000,38900.000000,37850.000000,37950.000000,37909.242188,2585077
2023-10-24,38300.000000,39700.000000,37850.000000,39600.000000,39557.472656,2739742
2023-10-25,39600.000000,39650.000000,38850.000000,38950.000000,38908.167969,1422352
2023-10-26,38250.000000,38500.000000,37400.000000,37650.000000,37609.566406,2073618
2023-10-27,37650.000000,38050.000000,37300.000000,37750.000000,37709.457031,1323041
2023-10-30,37650.000000,38400.000000,37600.000000,38000.000000,37959.191406,1290753
2023-10-31,38250.000000,38950.000000,37450.000000,37800.000000,37759.406250,1791726
2023-11-01,38000.000000,38300.000000,37450.000000,37600.000000,37559.621094,1272093
2023-11-02,38000.000000,38600.000000,37900.000000,38550.000000,38508.597656,1529650
2023-11-03,39250.000000,41550.000000,38900.000000,41300.000000,41255.644531,3675484
2023-11-06,43000.000000,44700.000000,42300.000000,44700.000000,44651.996094,4871031
2023-11-07,44700.000000,44750.000000,42850.000000,43750.000000,43703.015625,2026104
2023-11-08,44350.000000,45000.000000,43850.000000,43950.000000,43902.800781,1515109
2023-11-09,43450.000000,46500.000000,43450.000000,45600.000000,45551.027344,3198261
2023-11-10,45800.000000,46100.000000,45000.000000,45650.000000,45600.972656,1978790
2023-11-13,45800.000000,46450.000000,44900.000000,45000.000000,44951.671875,1288632
2023-11-14,46150.000000,46950.000000,45500.000000,46350.000000,46300.222656,1718239
2023-11-15,47200.000000,48450.000000,46800.000000,48300.000000,48248.128906,2792797
2023-11-16,47400.000000,48250.000000,46850.000000,48200.000000,48148.234375,1565115
2023-11-17,48150.000000,48150.000000,47200.000000,47500.000000,47448.988281,1144308
2023-11-20,47250.000000,48150.000000,47000.000000,47800.000000,47748.664063,929546
2023-11-21,48300.000000,49600.000000,48300.000000,49250.000000,49197.109375,2483017
2023-11-22,48750.000000,51000.000000,48250.000000,50300.000000,50245.980469,2467921
2023-11-23,50400.000000,50600.000000,49600.000000,50300.000000,50245.980469,1394573
2023-11-24,50400.000000,50900.000000,50000.000000,50500.000000,50445.765625,1011208
2023-11-27,50800.000000,51000.000000,49300.000000,49850.000000,49796.464844,1480318
2023-11-28,50000.000000,51200.000000,49800.000000,51100.000000,51045.121094,1423510
2023-11-29,50800.000000,51300.000000,50100.000000,50500.000000,50445.765625,1284120
2023-11-30,50200.000000,50900.000000,50000.000000,50500.000000,50445.765625,1613598
2023-12-01,50400.000000,50400.000000,49650.000000,49700.000000,49646.625000,1105367
2023-12-04,49800.000000,51300.000000,49750.000000,50800.000000,50745.441406,1785113
2023-12-05,50700.000000,51200.000000,50200.000000,50800.000000,50745.441406,1142447
2023-12-06,50700.000000,51100.000000,50200.000000,50500.000000,50445.765625,1039034
2023-12-07,50200.000000,50800.000000,50000.000000,50500.000000,50445.765625,723544
2023-12-08,51400.000000,52000.000000,50700.000000,51700.000000,51644.476563,1481560
2023-12-11,52000.000000,53200.000000,51900.000000,52100.000000,52044.046875,1538081
2023-12-12,52500.000000,52700.000000,51800.000000,51800.000000,51744.367188,966939
2023-12-13,51800.000000,52000.000000,50700.000000,50900.000000,50845.335938,886654
