Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,78200.000000,79800.000000,78200.000000,79600.000000,79600.000000,17142847
2024-01-03,78500.000000,78800.000000,77000.000000,77000.000000,77000.000000,21753644
2024-01-04,76100.000000,77300.000000,76100.000000,76600.000000,76600.000000,15324439
2024-01-05,76700.000000,77100.000000,76400.000000,76600.000000,76600.000000,11304316
2024-01-08,77000.000000,77500.000000,76400.000000,76500.000000,76500.000000,11088724
2024-01-09,77400.000000,77700.000000,74300.000000,74700.000000,74700.000000,26019249
2024-01-10,75000.000000,75200.000000,73200.000000,73600.000000,73600.000000,20259529
2024-01-11,72900.000000,73600.000000,72700.000000,73200.000000,73200.000000,57691266
2024-01-12,73000.000000,74100.000000,72800.000000,73100.000000,73100.000000,13038939
2024-01-15,73200.000000,74000.000000,73200.000000,73900.000000,73900.000000,2957915
2024-01-16,73500.000000,73700.000000,72500.000000,72600.000000,72600.000000,14760415
2024-01-17,73100.000000,73300.000000,71000.000000,71000.000000,71000.000000,22683660
2024-01-18,71600.000000,72000.000000,70700.000000,71700.000000,71700.000000,17853397
2024-01-19,73500.000000,74700.000000,73000.000000,74700.000000,74700.000000,23363427
2024-01-22,75900.000000,76000.000000,75000.000000,75100.000000,75100.000000,19673375
2024-01-23,75700.000000,75800.000000,74300.000000,75200.000000,75200.000000,14786224
2024-01-24,75200.000000,75200.000000,73500.000000,74000.000000,74000.000000,12860661
2024-01-25,74200.000000,74800.000000,73700.000000,74100.000000,74100.000000,11737747
2024-01-26,73700.000000,74500.000000,73300.000000,73400.000000,73400.000000,11160062
2024-01-29,73800.000000,75200.000000,73500.000000,74400.000000,74400.000000,13976521
2024-01-30,75000.000000,75300.000000,73700.000000,74300.000000,74300.000000,12244418
2024-01-31,73400.000000,74000.000000,72500.000000,72700.000000,72700.000000,15703560
2024-02-01,73000.000000,74200.000000,72900.000000,73600.000000,73600.000000,19881033
2024-02-02,74000.000000,75200.000000,73700.000000,75200.000000,75200.000000,14955881
2024-02-05,74200.000000,74800.000000,73500.000000,74300.000000,74300.000000,19026021
2024-02-06,74300.000000,74700.000000,73300.000000,74400.000000,74400.000000,14559254
2024-02-07,74600.000000,75500.000000,74300.000000,75000.000000,75000.000000,16566445
2024-02-08,75000.000000,75200.000000,73600.000000,74100.000000,74100.000000,20810708
2024-02-13,74800.000000,75200.000000,74400.000000,75200.000000,75200.000000,21966745
2024-02-14,73700.000000,74300.000000,73700.000000,74000.000000,74000.000000,12434945
2024-02-15,74200.000000,74400.000000,73000.000000,73200.000000,73200.000000,14120600
2024-02-16,73300.000000,73400.000000,72500.000000,72800.000000,72800.000000,13444781
2024-02-19,72800.000000,73900.000000,72800.000000,73800.000000,73800.000000,12726404
2024-02-20,73700.000000,73700.000000,72800.000000,73300.000000,73300.000000,14681477
2024-02-21,73400.000000,73700.000000,72900.000000,73000.000000,73000.000000,11503495
2024-02-22,73800.000000,73900.000000,72700.000000,73100.000000,73100.000000,15208934
2024-02-23,73600.000000,74200.000000,72900.000000,72900.000000,72900.000000,16225166
2024-02-26,72300.000000,73200.000000,72200.000000,72800.000000,72800.000000,14669352
2024-02-27,73100.000000,73400.000000,72700.000000,72900.000000,72900.000000,13201981
2024-02-28,72900.000000,73900.000000,72800.000000,73200.000000,73200.000000,11795859
2024-02-29,72600.000000,73400.000000,72000.000000,73400.000000,73400.000000,21176403
2024-03-04,74300.000000,75000.000000,74000.000000,74900.000000,74900.000000,23210474
2024-03-05,74600.000000,74800.000000,73700.000000,73700.000000,73700.000000,19505125
2024-03-06,73200.000000,73500.000000,72700.000000,72900.000000,72900.000000,21547905
2024-03-07,73100.000000,73300.000000,72200.000000,72200.000000,72200.000000,14516963
2024-03-08,72800.000000,73400.000000,72600.000000,73300.000000,73300.000000,19271349
2024-03-11,72900.000000,73100.000000,72300.000000,72400.000000,72400.000000,9740504
2024-03-12,72600.000000,73500.000000,72100.000000,73300.000000,73300.000000,13011654
2024-03-13,73700.000000,74100.000000,73500.000000,74100.000000,74100.000000,15243134
2024-03-14,74400.000000,74500.000000,73600.000000,74300.000000,74300.000000,22545539
2024-03-15,73400.000000,73700.000000,72300.000000,72300.000000,72300.000000,22580555
2024-03-18,72600.000000,73000.000000,72500.000000,72800.000000,72800.000000,11520348
2024-03-19,72300.000000,73000.000000,71700.000000,72800.000000,72800.000000,15376066
2024-03-20,73700.000000,77200.000000,73400.000000,76900.000000,76900.000000,50106297
2024-03-21,79200.000000,79300.000000,77700.000000,79300.000000,79300.000000,44569799
2024-03-22,79600.000000,79900.000000,77800.000000,78900.000000,78900.000000,26724761
2024-03-25,79600.000000,79800.000000,77800.000000,78200.000000,78200.000000,18703996
2024-03-26,79700.000000,80100.000000,79200.000000,79900.000000,79900.000000,30551494
2024-03-27,79200.000000,80000.000000,79200.000000,79800.000000,79800.000000,17424595
2024-03-28,79400.000000,81000.000000,79200.000000,80800.000000,80800.000000,25084812
2024-03-29,81200.000000,82500.000000,80900.000000,82400.000000,82400.000000,27126366
2024-04-01,83200.000000,83300.000000,82000.000000,82000.000000,82000.000000,20116513
2024-04-02,82900.000000,85000.000000,82900.000000,85000.000000,85000.000000,37077944
2024-04-03,84300.000000,85000.000000,83500.000000,84100.000000,84100.000000,30493347
2024-04-04,85200.000000,85500.000000,84300.000000,85300.000000,85300.000000,25248934
2024-04-05,84500.000000,85000.000000,83800.000000,84500.000000,84500.000000,18883752
2024-04-08,85200.000000,86000.000000,84500.000000,84500.000000,84500.000000,18953232
2024-04-09,84500.000000,84900.000000,83100.000000,83600.000000,83600.000000,23725956
